txn_id,hour,amount,method,bank,device,network_quality,prior_attempts,reason,strategy,delay_min,channel,success,revenue_recovered
train_000145,11,946.36,Card,Axis,web,poor,2,bank_timeout,nudge_then_retry,10.2,sms,0,0.0
train_000146,20,1226.71,UPI,SBI,android,good,2,wrong_otp,instant_retry,6.3,none,0,0.0
train_000147,6,246.77,Card,Axis,android,moderate,0,insufficient_funds,delayed_retry,24.2,none,0,0.0
train_000148,8,914.21,UPI,IDFC,web,good,0,network_drop,nudge_then_retry,731.7,sms,0,0.0
train_000149,8,1038.23,UPI,Kotak,android,good,0,bank_timeout,instant_retry,7.9,none,0,0.0
train_000150,13,391.61,Wallet,IDFC,android,poor,2,insufficient_funds,nudge_then_retry,159.5,sms,1,391.61
train_000151,22,640.72,UPI,HDFC,ios,good,2,bank_timeout,nudge_then_retry,592.0,whatsapp,1,640.72
train_000152,12,2078.87,UPI,Kotak,web,moderate,0,network_drop,delayed_retry,29.5,none,0,0.0
train_000153,12,1153.09,NetBanking,Axis,android,good,4,bank_timeout,delayed_retry,557.5,none,0,0.0
train_000154,17,497.79,UPI,YesBank,ios,good,0,insufficient_funds,nudge_then_retry,343.4,whatsapp,1,497.79
train_000155,15,1128.71,Card,HDFC,android,good,0,card_declined,delayed_retry,12.1,none,1,1128.71
train_000156,7,258.86,UPI,Axis,ios,good,1,insufficient_funds,instant_retry,0.7,none,0,0.0
train_000157,19,742.47,UPI,Kotak,android,poor,0,risk_block,nudge_then_retry,9.6,whatsapp,0,0.0
train_000158,17,109.79,UPI,Axis,android,moderate,0,wrong_otp,delayed_retry,1654.3,none,0,0.0
train_000159,5,266.69,NetBanking,YesBank,ios,poor,2,bank_timeout,nudge_then_retry,734.5,email,0,0.0
train_000160,9,315.41,UPI,IDFC,web,good,0,bank_timeout,delayed_retry,34.6,none,1,315.41
train_000161,13,677.78,Wallet,ICICI,android,moderate,1,gateway_error,instant_retry,1.7,none,0,0.0
train_000162,16,1064.57,Card,YesBank,android,moderate,0,card_declined,instant_retry,4.3,none,0,0.0
train_000163,20,517.73,Card,HDFC,android,moderate,0,gateway_error,nudge_then_retry,27.6,whatsapp,1,517.73
train_000164,19,237.68,UPI,HDFC,android,good,0,risk_block,delayed_retry,470.7,none,0,0.0
train_000165,13,2896.03,UPI,IDFC,ios,moderate,1,bank_timeout,instant_retry,4.1,none,0,0.0
train_000166,17,283.41,UPI,YesBank,android,moderate,0,network_drop,instant_retry,2.3,none,1,283.41
train_000167,12,1520.26,Wallet,Axis,web,good,1,card_declined,nudge_then_retry,159.2,sms,0,0.0
train_000168,10,190.86,UPI,HDFC,android,moderate,1,wrong_otp,suggest_alt_method,836.6,whatsapp,0,0.0
train_000169,22,3881.22,Wallet,IDFC,android,good,1,wrong_otp,no_action,0.0,none,0,0.0
train_000170,7,782.47,Card,YesBank,web,good,2,risk_block,nudge_then_retry,24.4,whatsapp,0,0.0
train_000171,13,354.76,UPI,Kotak,ios,poor,0,bank_timeout,instant_retry,6.5,none,1,354.76
train_000172,9,605.79,Card,HDFC,android,good,0,bank_timeout,nudge_then_retry,175.9,whatsapp,1,605.79
train_000173,18,140.71,UPI,ICICI,android,moderate,1,insufficient_funds,instant_retry,7.3,none,0,0.0
train_000174,7,1849.07,UPI,HDFC,android,good,0,wrong_otp,delayed_retry,220.4,none,0,0.0
train_000175,15,84.97,UPI,HDFC,web,good,3,risk_block,instant_retry,7.4,none,0,0.0
train_000176,5,182.37,UPI,SBI,android,good,0,bank_timeout,delayed_retry,174.2,none,0,0.0
train_000177,12,4946.07,UPI,Axis,android,good,0,wrong_otp,delayed_retry,168.0,none,0,0.0
train_000178,19,1306.5,Wallet,HDFC,android,good,1,gateway_error,no_action,0.0,none,0,0.0
train_000179,8,7831.45,UPI,SBI,android,good,0,network_drop,delayed_retry,2219.0,none,0,0.0
train_000180,21,1022.37,Card,IDFC,ios,good,1,insufficient_funds,delayed_retry,2221.1,none,1,1022.37
train_000181,12,118.09,UPI,ICICI,android,good,0,insufficient_funds,delayed_retry,46.3,none,1,118.09
train_000182,20,3987.21,UPI,HDFC,android,good,0,wrong_otp,nudge_then_retry,39.4,sms,0,0.0
train_000183,15,1841.61,NetBanking,ICICI,android,good,1,bank_timeout,no_action,0.0,none,0,0.0
train_000184,22,908.64,UPI,YesBank,ios,good,1,wrong_otp,nudge_then_retry,166.1,sms,0,0.0
train_000185,16,338.52,UPI,Axis,android,moderate,2,wrong_otp,no_action,0.0,none,0,0.0
train_000186,13,2174.63,Wallet,ICICI,ios,good,1,wrong_otp,delayed_retry,11.6,none,1,2174.63
train_000187,8,4172.13,UPI,Kotak,web,moderate,2,bank_timeout,nudge_then_retry,53.6,whatsapp,0,0.0
train_000188,2,1093.18,NetBanking,Axis,android,moderate,1,bank_timeout,instant_retry,5.4,none,0,0.0
train_000189,19,1291.4,Card,HDFC,android,poor,0,network_drop,nudge_then_retry,57.0,email,0,0.0
train_000190,6,1025.79,NetBanking,IDFC,android,good,0,bank_timeout,suggest_alt_method,1293.7,sms,0,0.0
train_000191,15,414.94,Card,YesBank,android,poor,0,network_drop,delayed_retry,848.8,none,0,0.0
train_000192,9,3258.05,UPI,IDFC,android,moderate,0,wrong_otp,no_action,0.0,none,0,0.0
train_000193,9,2704.66,Card,HDFC,android,moderate,0,bank_timeout,delayed_retry,174.1,none,0,0.0
train_000194,17,129.25,UPI,ICICI,ios,moderate,1,wrong_otp,suggest_alt_method,148.6,sms,0,0.0
train_000195,15,1660.2,UPI,YesBank,android,good,1,bank_timeout,delayed_retry,192.2,none,0,0.0
train_000196,18,463.3,UPI,SBI,ios,good,0,wrong_otp,instant_retry,7.3,none,0,0.0
train_000197,21,262.45,UPI,Kotak,android,good,0,bank_timeout,delayed_retry,21.2,none,1,262.45
train_000198,21,1974.87,UPI,SBI,android,good,1,risk_block,instant_retry,3.0,none,0,0.0
train_000199,18,1260.47,UPI,Axis,ios,good,0,wrong_otp,no_action,0.0,none,0,0.0
train_000200,19,890.83,Card,HDFC,ios,good,1,risk_block,suggest_alt_method,883.3,sms,0,0.0
train_000201,10,23582.24,UPI,YesBank,android,good,1,bank_timeout,instant_retry,4.5,none,0,0.0
train_000202,19,372.26,Card,IDFC,web,good,0,insufficient_funds,suggest_alt_method,209.7,whatsapp,1,372.26
train_000203,22,6194.67,Card,YesBank,android,moderate,0,card_declined,instant_retry,7.7,none,0,0.0
train_000204,12,254.49,NetBanking,ICICI,web,moderate,0,insufficient_funds,no_action,0.0,none,0,0.0
train_000205,22,179.71,Card,ICICI,android,good,1,card_declined,nudge_then_retry,23.9,whatsapp,0,0.0
train_000206,16,6754.81,Card,IDFC,ios,moderate,0,card_declined,instant_retry,0.9,none,0,0.0
train_000207,18,1442.36,UPI,YesBank,android,good,0,insufficient_funds,nudge_then_retry,22.0,whatsapp,1,1442.36
train_000208,18,4778.46,Card,SBI,ios,good,0,card_declined,nudge_then_retry,69.4,sms,1,4778.46
train_000209,10,1394.35,UPI,ICICI,android,moderate,1,network_drop,nudge_then_retry,143.6,whatsapp,0,0.0
train_000210,21,2723.25,UPI,SBI,web,good,0,network_drop,nudge_then_retry,7.9,whatsapp,0,0.0
train_000211,11,14358.05,Wallet,SBI,web,moderate,0,risk_block,nudge_then_retry,16.0,sms,0,0.0
train_000212,22,732.62,UPI,IDFC,android,good,0,bank_timeout,instant_retry,2.9,none,0,0.0
train_000213,13,409.09,Card,YesBank,android,good,0,insufficient_funds,instant_retry,5.4,none,0,0.0
train_000214,22,783.75,UPI,Axis,web,moderate,1,network_drop,delayed_retry,131.4,none,0,0.0
train_000215,0,625.78,Card,ICICI,android,good,1,risk_block,instant_retry,0.5,none,0,0.0
train_000216,20,868.69,UPI,HDFC,ios,good,1,wrong_otp,instant_retry,4.2,none,1,868.69
train_000217,9,343.7,UPI,IDFC,ios,moderate,1,insufficient_funds,suggest_alt_method,42.7,sms,0,0.0
train_000218,12,332.98,Card,SBI,android,good,0,card_declined,delayed_retry,1230.7,none,0,0.0
train_000219,14,715.29,Card,SBI,android,good,0,card_declined,nudge_then_retry,76.8,sms,0,0.0
train_000220,5,633.41,UPI,SBI,ios,good,0,wrong_otp,instant_retry,2.6,none,1,633.41
train_000221,8,918.11,Wallet,Kotak,android,good,0,card_declined,delayed_retry,70.2,none,0,0.0
train_000222,10,1874.41,UPI,IDFC,ios,moderate,0,bank_timeout,delayed_retry,838.1,none,0,0.0
train_000223,12,362.49,UPI,YesBank,android,moderate,0,insufficient_funds,nudge_then_retry,99.7,sms,1,362.49
train_000224,10,110.04,UPI,Kotak,ios,moderate,0,insufficient_funds,suggest_alt_method,39.8,sms,0,0.0
train_000225,12,3124.65,Card,SBI,ios,good,0,risk_block,nudge_then_retry,19.8,sms,0,0.0
train_000226,17,2123.12,UPI,YesBank,web,good,0,bank_timeout,nudge_then_retry,108.8,whatsapp,1,2123.12
train_000227,20,324.13,UPI,YesBank,web,moderate,0,bank_timeout,delayed_retry,33.1,none,0,0.0
train_000228,14,7282.88,UPI,ICICI,android,moderate,0,bank_timeout,nudge_then_retry,540.8,email,0,0.0
train_000229,19,5873.2,UPI,IDFC,android,good,0,wrong_otp,nudge_then_retry,16.2,sms,1,5873.2
train_000230,13,1005.2,UPI,Kotak,web,good,1,bank_timeout,delayed_retry,184.5,none,0,0.0
train_000231,19,1104.92,UPI,HDFC,web,moderate,1,network_drop,no_action,0.0,none,0,0.0
train_000232,19,630.22,UPI,ICICI,ios,moderate,1,wrong_otp,instant_retry,5.5,none,1,630.22
train_000233,19,886.27,Wallet,ICICI,android,moderate,1,bank_timeout,suggest_alt_method,93.9,sms,0,0.0
train_000234,16,356.02,Wallet,Axis,android,good,0,network_drop,nudge_then_retry,13.6,whatsapp,0,0.0
train_000235,16,242.7,Card,Kotak,web,moderate,0,risk_block,instant_retry,7.4,none,0,0.0
train_000236,17,1035.73,Card,YesBank,android,good,0,bank_timeout,instant_retry,4.3,none,0,0.0
train_000237,16,302.03,NetBanking,YesBank,android,good,1,bank_timeout,nudge_then_retry,17.7,sms,1,302.03
train_000238,9,1259.79,Wallet,Kotak,ios,moderate,0,wrong_otp,instant_retry,1.4,none,1,1259.79
train_000239,18,367.66,UPI,ICICI,web,poor,0,network_drop,delayed_retry,2483.0,none,0,0.0
train_000240,10,2115.52,UPI,SBI,android,poor,1,network_drop,delayed_retry,25.9,none,0,0.0
train_000241,18,780.95,UPI,HDFC,android,good,1,bank_timeout,no_action,0.0,none,0,0.0
train_000242,12,317.04,UPI,YesBank,web,moderate,0,wrong_otp,nudge_then_retry,41.7,whatsapp,0,0.0
train_000243,10,685.42,Card,IDFC,android,good,1,gateway_error,delayed_retry,1391.6,none,1,685.42
train_000244,15,213.33,UPI,HDFC,web,poor,2,bank_timeout,nudge_then_retry,800.6,sms,0,0.0
train_000245,10,464.71,UPI,YesBank,web,good,0,network_drop,delayed_retry,118.2,none,0,0.0
train_000246,9,1167.19,UPI,Kotak,android,good,0,wrong_otp,instant_retry,7.8,none,1,1167.19
train_000247,6,1510.77,UPI,YesBank,android,moderate,1,insufficient_funds,instant_retry,6.6,none,0,0.0
train_000248,12,495.74,Card,SBI,android,moderate,0,insufficient_funds,no_action,0.0,none,0,0.0
train_000249,8,1358.11,Card,YesBank,ios,good,0,insufficient_funds,delayed_retry,517.8,none,0,0.0
train_000250,8,354.53,Card,SBI,web,good,2,insufficient_funds,nudge_then_retry,18.6,sms,0,0.0
train_000251,8,217.94,UPI,YesBank,web,moderate,0,wrong_otp,delayed_retry,466.5,none,0,0.0
train_000252,13,446.3,UPI,ICICI,android,moderate,0,insufficient_funds,instant_retry,3.6,none,0,0.0
train_000253,22,169.37,Card,SBI,web,moderate,2,risk_block,nudge_then_retry,8.4,whatsapp,0,0.0
train_000254,21,2238.25,UPI,SBI,android,moderate,0,insufficient_funds,nudge_then_retry,1332.4,sms,1,2238.25
train_000255,16,466.02,UPI,HDFC,android,good,0,network_drop,nudge_then_retry,55.4,sms,1,466.02
train_000256,10,989.39,UPI,Axis,ios,good,1,network_drop,delayed_retry,64.5,none,0,0.0
train_000257,19,1947.44,UPI,Kotak,android,good,1,wrong_otp,instant_retry,2.0,none,1,1947.44
